X,Y,OBJECTID,Well_No,Well_Class,Lic_No,Lic_Op,Spud_Date,Water_dep_m,Rig_Datum,Datum_Elev_m,TD_MD_m,TD_TVDSS_m,TD_Date,Mech_Stat,T1_Age,T1_Name,R1_Age,R1_Name,R1_thick_m,R1_Rock,R1_Fluid,R1_flow_hrs,R1_rate_bblsd,R1_rate_mmcfd,R1_choke,R1_Oil_ton,R1_Gas_m3,R1_Cond_m3,R1_WHP_bar,R1_WHT_oC,R1_waterPC,T2_Age,T2_Name,R2_Age,R2_Name,R2_thick_m,R2_Rock,R2_Fluid,T3_Age,T3_Name,R3_Age,R3_Name,R3_thick_m,R3_Rock,R3_Fluid,T4_Age,T4_Name,R4_Age,R4_Name,R4_thick_m,R4_Rock,R4_Fluid,Comments
-0.972853055999963,57.8150591670001,1,20/06a-B41,Appraisal,P986,CNOOC PETROLEUM EUROPE LIMITED,2019/06/12 00:00:00+00,96.80448,Rotary Table,61.4172,3200.4,2702.95,1970/01/01 00:00:00+00,AB1,Upper Jurassic,Buzzard Sandstone,Upper Jurassic,Buzzard B4,58.83,Sandstone ,Oil,,,,,,,,,,,,,Upper Jurassic,Buzzard B2,53.04,Sandstone,Oil,,,,,,,,,,,,,,,
-4.15397138899993,60.8186425000001,2,204/10a- 5Z,Appraisal,P1028,SICCAR POINT ENERGY E&P LIMITED,2018/05/29 00:00:00+00,1082,Rotary Table,31,2995,2303.57,2018/06/10 00:00:00+00,AB1,Palaeocene ,Hildasay Formation,Palaeocene ,Hildasay Formation,13.7,Sandstone,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.59989615300003,57.4057431310001,3,22/18c- 8Z,Exploration,P2184,NAUTICAL PETROLEUM LIMITED,2018/09/05 00:00:00+00,93.7,Rotary Table,46.3,2731,2680.5,2018/09/12 00:00:00+00,AB3,Triassic,Skagerrak Fm,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.36250000000007,59.328333333,4,9/22a- 4A,Exploration,P2314,EQUINOR UK LIMITED,2019/01/25 00:00:00+00,101.1,Kelly Bushing,38.6,2692,2640.5,2019/02/05 00:00:00+00,AB3,Upper Triassic,"Cormorant Fm, Lewis Members",Lower Triassic,"Cormorant Fm, Lewis Members",169,Sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.83056638899996,50.6546502780001,5,98/11a- 6Z,Appraisal,P1918,CORALLIAN ENERGY LIMITED,2019/02/25 00:00:00+00,19.87,Rotary Table,39,1910,1799.4,2019/03/07 00:00:00+00,AB3,Triassic,Sherwood Sandstone,Triassic,Sherwood Sandstone,27,Sandstone,,,,,,,,,,,,,,Jurassic,Cornbrash,19,Sandstone and Limestone,,,,,,,,,,,,,,,,
-3.95673749999997,60.148501944,6,205/26b- 13Z,Exploration,P1368,HURRICANE ENERGY PLC,2019/05/21 00:00:00+00,150.57,Rotary Table,23.5,3046.78,1964.74,2019/06/11 00:00:00+00,AB3,Lewisian,Basement,Lewisian,Basement,15.38,Tonalite,,56,490,,40/64,0,0,0,3.72,11.7,100,,,,,,,,,,,,,,,,,,,,,,
1.59989615300003,57.4057431310001,7,22/18c- 8Y,Exploration,P2184,NAUTICAL PETROLEUM LIMITED,2018/09/13 00:00:00+00,93.7,Rotary Table,46.3,3630,3579,2018/10/03 00:00:00+00,AB3,Triassic,Skagerrak Fm,Triassic,Skagerrak Fm,118.5,Sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.74471111100007,59.624536667,8,9/14a- 17B,Exploration,P1763,APACHE BERYL LIMITED,2018/09/23 00:00:00+00,123.2,Mean Sea Level,23.5,2254,1833,2018/10/19 00:00:00+00,AB3,Eocene,Frigg Fm,Eocene,Frigg Fm,34,Sandstone,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Well Operated by Azinor Catalyst Limited
1.74471111100007,59.624536667,9,9/14a- 17Z,Appraisal,P1763,APACHE BERYL LIMITED,2018/10/31 00:00:00+00,123.2,Mean Sea Level,23.5,1932,1802.9,2018/11/04 00:00:00+00,AB3,Eocene,Frigg Fm,Eocene,Frigg Fm,19.2,Sandstone,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Well Operated by Azinor Catalyst Limited
-1.84815277799993,58.2940825000001,10,13/21a- 8Z,Appraisal,P186,CHEVRON NORTH SEA LIMITED,2018/10/09 00:00:00+00,102.2604,Mean Sea Level,26.3652,1010.412,940.9176,2018/10/11 00:00:00+00,AB3,Lower Cretaceous,Captain Sandstone,Lower Cretaceous,Captain Sandstone,0.9144,Sandstone,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.15397138899993,60.8186425000001,11,204/10a- 5Y,Appraisal,P1028,SICCAR POINT ENERGY E&P LIMITED,2018/06/13 00:00:00+00,1082,Rotary Table,31,3166,2299,2018/06/15 00:00:00+00,AB1,Palaeocene ,Hildasay Formation,Palaeocene ,Hildasay Formation,13.7,Sandstone,Oil,262,4993,,96/64,6755,396042,0,38.33,16,1.3,,,,,,,,,,,,,,,,,,,,,,
2.20783027800007,56.7250472220001,12,30/07a-S12Z,Appraisal,P32,CONOCOPHILLIPS (U.K.) LIMITED,2018/09/22 00:00:00+00,83.82,Rotary Table,60.6552,5609.5392,4745.736,2018/11/04 00:00:00+00,AB2,Triassic,Skagerrak Fm,Triassic,Skagerrak,347.1672,Sandstone,Condensate,,,,,,,,,,,Jurassic,Heather/Puffin Sst,Jurassic-Triassic,Puffin-josephine Sandstones,42.98,Sandstone,Condensate,,,,,,,,,,,,,,,
0.699822828000038,54.938151292,13,42/04- 1Z,Exploration,P2133,ONE-DYAS NORTH SEA LIMITED,2019/07/08 00:00:00+00,71,Rotary Table,45,2278,2265,2019/07/13 00:00:00+00,AB3,Permian,Zechstein Fm,Permian,Zechstein Fm,3.7,Limestone,Oil,81,3500,,32/64,62,15000,0,84,44.1,79,,,,,,,,,,,,,,,,,,,,,,Test did not progress further than the cleanup phase
-3.20545611099993,58.2873161110001,14,11/24b- 4,Exploration,P2235,CORALLIAN ENERGY LIMITED,2018/12/25 00:00:00+00,37.8,Rotary Table,39,1000,963.1,2019/01/15 00:00:00+00,AB3,Middle Jurassic,Beatrice Formation,Middle Jurassic,Beatrice Sandstone,23.5,Sandstone,,,,,,,,,,,,Triassic,Lossiemouth Sandstone,Triassic,Lossiemouth Sandstone,nr,,,,,,,,,,,,,,,,,Triassic secondary target not reached (nr)
-3.91624722199992,60.118987222,15,205/26b- 14,Exploration,P1368,HURRICANE ENERGY PLC,2019/07/12 00:00:00+00,161.5,Rotary Table,23.5,2136.65,1765.71,2019/08/29 00:00:00+00,Plugged,Lewisian,Basement,Lewisian,Basement,14.73,Tonalite,Oil,42,11183,,76/64,1372,147000,0,73.28,40.6,3.6,,,,,,,,,,,,,,,,,,,,,,
0.699822828000038,54.938151292,16,42/04- 1,Exploration,P2133,ONE-DYAS NORTH SEA LIMITED,2019/05/16 00:00:00+00,71,Rotary Table,45,3300,3255.3,2019/07/02 00:00:00+00,AB3,Carboniferous,Yoredale Formation,Carboniferous,Yoredale,286.3,Sandstone and Shale,,,,,,,,,,,,Carboniferous,Fell Sandstone,Carboniferous,Fell Sandstone,407,Sandstone and Shale,,Permian,Zechstein Fm,Permian,Zechstein Fm,44.1,Limestone,Oil,,,,,,,,Well mechanically sidetracked
2.20783027800007,56.7250472220001,17,30/07a-S12,Appraisal,P32,CONOCOPHILLIPS (U.K.) LIMITED,2018/08/26 00:00:00+00,83.82,Rotary Table,60.6552,4130.04,3313.4808,2018/09/16 00:00:00+00,AB1,Triassic,Skagerrak Fm,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.894045278000021,57.9696502780001,18,21/05c-F1,Appraisal,P2013,ZENNOR PATHWAY LIMITED,2018/07/09 00:00:00+00,139.9032,Rotary Table,23.4696,3965.1432,3639.9216,2018/08/12 00:00:00+00,AB1,Lower Cretaceous,Britannia Sandstone,Lower Cretaceous,Britannia Sandstone,68.58,Sandstone,Gas/Condensate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.43385083299995,58.189322222,19,13/23c- 9,Appraisal,P2358,I3 ENERGY NORTH SEA LIMITED,2019/08/21 00:00:00+00,116.1288,Rotary Table,31.0896,1773.3264,1742.2368,2019/09/10 00:00:00+00,AB3,Lower Cretaceous,Upper Captain Sandstone,Lower Cretaceous,Upper Captain Sandstone,0,Shale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.84815277799993,58.2940825000001,20,13/21a- 8,Appraisal,P185,CHEVRON NORTH SEA LIMITED,2018/09/16 00:00:00+00,102.2604,Mean Sea Level,26.3652,1010.41,930.55,2018/10/06 00:00:00+00,AB3,Lower Cretaceous,Captain Sandstone,Lower Cretaceous,Captain Sandstone,0,Shale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.20740833300005,56.7251988890001,21,30/07a-S15,Appraisal,P32,CONOCOPHILLIPS (U.K.) LIMITED,2019/06/24 00:00:00+00,83.82,Rotary Table,60.6552,6155.13,4555.85,2019/08/20 00:00:00+00,Completed,Triassic,Josephine Sandstone,Triassic,Josephine Sandstone,105.7656,Sandstone,Condensate,,,,,,,,,,,Middle Jurassic,Pentland Fm,Middle Jurassic,Pentland Fm,17.98,Sandstone,Condensate,,,,,,,,,,,,,,,
0.894354444000044,57.9694961110001,22,21/05c-F2,Appraisal,P2013,ZENNOR PATHWAY LIMITED,2018/07/11 00:00:00+00,139.9032,Rotary Table,23.4696,4303.776,3631.3872,2018/11/14 00:00:00+00,AB1,Lower Cretaceous,Britannia Sandstone,Lower Cretaceous,Britannia Sandstone,62.1792,Sandstone,Gas/Condensate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.11781222200005,57.177428611,23,22/21c- 13,Exploration,P2215,CNOOC PETROLEUM EUROPE LIMITED,2018/08/26 00:00:00+00,84.1248,Rotary Table,46.6344,5056.3272,4911.5472,2018/12/25 00:00:00+00,AB3,Upper Jurassic,Heather Fm,Upper Jurassic,Heather Sandstone,235.3056,Sandstone,Gas/Condensate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.95673749999997,60.148501944,24,205/26b- 13,Exploration,P1368,HURRICANE ENERGY PLC,2019/04/16 00:00:00+00,150.57,Rotary Table,23.5,2438,1900.12,2019/05/06 00:00:00+00,AB3,Lewisian ,Basement,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Well mechanically sidetracked on 21/05/2019
-1.76678138899996,61.884460833,25,208/02- 1,Exploration,P1854,SICCAR POINT ENERGY U.K. LIMITED,2019/05/16 00:00:00+00,1451.5,Rotary Table,32.7,4038,4005.2,2019/06/14 00:00:00+00,AB3,Eocene,Balder-Flett Fm,Eocene,Balder Fm,125,Siltstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.850005556000042,58.651775,26,15/15- 2,Exploration,P2318,EQUINOR UK LIMITED,2019/02/13 00:00:00+00,132.5,Kelly Bushing,38.6,2439,2400.1,2019/02/24 00:00:00+00,AB3,Upper Jurassic,Piper Formation,Lower Cretaceous,Piper Formation,37,Sandstone,,,,,,,,,,,,,,Middle Jurassic,Fladen Group,73.6,Sandstone,,,,,,,,,,,,,,,,
-1.83056638899996,50.6546502780001,27,98/11a- 6,Appraisal,P1918,CORALLIAN ENERGY LIMITED,2019/02/06 00:00:00+00,19.87,Rotary Table,39,1870,1831,2019/02/21 00:00:00+00,AB3,Triassic,Sherwood Sandstone,Triassic,Sherwood Sandstone,27.5,Sandstone,Oil,,,,,,,,,,,,,Jurassic,Cornbrash,28,Sandstone and Limestone,,,,,,,,,,,,,,,,Well geologically sidetracked
